Typ,ID,ID akce,ID rodiče,Hodnota Cs,Hodnota En,Od,Od (pořadí),Do,Do (pořadí)
JED,352341,1,352320,Perneggerová Anna Marie,Perneggerová Anna Marie,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352342,1,352320,Pernegger Johann Christoph,Pernegger Johann Christoph,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352344,1,352320,Schuemacher Johann,Schuemacher Johann,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352345,1,352320,Sammenhammer Johann Karl,Sammenhammer Johann Karl,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352346,1,352320,Schwarz Johann Friedrich,Schwarz Johann Friedrich,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352347,1,352320,Schwarzová Rebekka,Schwarzová Rebekka,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352348,1,352320,Wohlgehaben Johann,Wohlgehaben Johann,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352156,2,,Linec ,,>16780824,>16780824,ZZZZZZZZZ,.........
KOL,352158,2,352156,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352159,2,352158,Pernegger Johann Christoph,Pernegger Johann Christoph,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352160,2,352158,Göttner Johann Georg,Göttner Johann Georg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352162,2,352158,Doktor Faust und Wagner,Doktor Faust und Wagner,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352404,2,352158,Linec (Linz),Linec (Linz),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352158,2,352156,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352159,2,352158,Pernegger Johann Christoph,Pernegger Johann Christoph,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352160,2,352158,Göttner Johann Georg,Göttner Johann Georg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352162,2,352158,Doktor Faust und Wagner,Doktor Faust und Wagner,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352404,2,352158,Linec (Linz),Linec (Linz),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352166,3,,Praha,,>16871106,>16871106,ZZZZZZZZZ,.........
KOL,352168,3,352166,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352402,3,352168,Praha (Prag),Praha (Prag),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352168,3,352166,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352402,3,352168,Praha (Prag),Praha (Prag),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352169,4,,Linec ,,>16870818,>16870818,>16870915,>16870915
KOL,352170,4,352169,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352405,4,352170,Linec (Linz),Linec (Linz),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352170,4,352169,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352405,4,352170,Linec (Linz),Linec (Linz),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352171,5,,Vídeň,,>16870407,>16870407,ZZZZZZZZZ,.........
KOL,352172,5,352171,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352176,5,352172,Gettner Johann Georg,Gettner Johann Georg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352406,5,352172,Vídeň (Wien),Vídeň (Wien),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352172,5,352171,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352176,5,352172,Gettner Johann Georg,Gettner Johann Georg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352406,5,352172,Vídeň (Wien),Vídeň (Wien),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352173,6,,Praha,,>16900326,>16900326,ZZZZZZZZZ,.........
KOL,352174,6,352173,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352196,6,352174,Praha (Prag),Praha (Prag),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352174,6,352173,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352196,6,352174,Praha (Prag),Praha (Prag),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352177,7,,Roudnice nad Labem,,>16900330,>16900330,ZZZZZZZZZ,.........
KOL,352178,7,352177,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352192,7,352178,Roudnice nad Labem (Raudnitz),Roudnice nad Labem (Raudnitz),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352178,7,352177,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352192,7,352178,Roudnice nad Labem (Raudnitz),Roudnice nad Labem (Raudnitz),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352179,8,,Praha,,>16901222,>16901222,ZZZZZZZZZ,.........
KOL,352180,8,352179,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352194,8,352180,Praha (Prag),Praha (Prag),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352180,8,352179,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352194,8,352180,Praha (Prag),Praha (Prag),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352181,9,,Brno,,>16921216,>16921216,ZZZZZZZZZ,.........
KOL,352183,9,352181,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352191,9,352183,Brno (Brünn),Brno (Brünn),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352183,9,352181,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352191,9,352183,Brno (Brünn),Brno (Brünn),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352184,10,,Brno,,>16930416,>16930416,ZZZZZZZZZ,.........
KOL,352185,10,352184,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352186,10,352184,Brno (Brünn),Brno (Brünn),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352200,12,,Praha,,>16931116,>16931116,ZZZZZZZZZ,.........
KOL,352201,12,352200,Eggenberští knížecí komedianti / Hochteutsche und Wienerische Comœdianten,,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352202,12,352201,"Praha (Prag), Stará rychta (Zum alten Gericht)","Praha (Prag), Stará rychta (Zum alten Gericht)",ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352201,12,352200,Eggenberští knížecí komedianti / Hochteutsche und Wienerische Comœdianten,,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352202,12,352201,"Praha (Prag), Stará rychta (Zum alten Gericht)","Praha (Prag), Stará rychta (Zum alten Gericht)",ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352203,13,,Vídeň,,>16940430,>16940430,>16940624,>16940624
KOL,352204,13,352203,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352205,13,352204,Vídeň (Wien),Vídeň (Wien),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352204,13,352203,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352205,13,352204,Vídeň (Wien),Vídeň (Wien),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352206,14,,Štýrský Hradec,,>16950107,>16950107,>16950207,>16950207
KOL,352207,14,352206,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352208,14,352207,Štýrský Hradec (Graz),Štýrský Hradec (Graz),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352207,14,352206,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352208,14,352207,Štýrský Hradec (Graz),Štýrský Hradec (Graz),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352209,15,,Innsbruck,,>16950523,>16950523,>16950614,>16950614
KOL,352212,15,352209,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352213,15,352212,Innsbruck,Innsbruck,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352212,15,352209,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352213,15,352212,Innsbruck,Innsbruck,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352210,15,,Salcburk,,>16950410,>16950410,>16950508,>16950508
KOL,352211,15,352210,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352214,15,352211,Salcburk  (Salzburg),Salcburk  (Salzburg),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352211,15,352210,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352214,15,352211,Salcburk  (Salzburg),Salcburk  (Salzburg),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352215,16,,Augsburg,,>16950628,>16950628,>16950808,>16950808
KOL,352216,16,352215,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352217,16,352216,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352216,16,352215,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352217,16,352216,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352218,17,,Lublaň,,>16950220,>16950220,>16950313,>16950313
KOL,352219,17,352218,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
