Typ,ID,ID akce,ID rodiče,Hodnota Cs,Hodnota En,Od,Od (pořadí),Do,Do (pořadí)
MIS,352251,26,352249,,,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352249,26,352248,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352250,26,352249,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352251,26,352249,,,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352252,27,,Memmingen,,>16960810,>16960810,ZZZZZZZZZ,.........
KOL,352253,27,352252,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352254,27,352253,Memmingen,Memmingen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352253,27,352252,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352254,27,352253,Memmingen,Memmingen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352255,28,,Memmingen,,>16960815,>16960815,ZZZZZZZZZ,.........
KOL,352256,28,352255,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352257,28,352256,Memmingen,Memmingen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352258,28,352257,Der großmütige Altamiro,Der großmütige Altamiro,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352257,28,352256,Memmingen,Memmingen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352258,28,352257,Der großmütige Altamiro,Der großmütige Altamiro,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352256,28,352255,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352257,28,352256,Memmingen,Memmingen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352258,28,352257,Der großmütige Altamiro,Der großmütige Altamiro,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352257,28,352256,Memmingen,Memmingen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352258,28,352257,Der großmütige Altamiro,Der großmütige Altamiro,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352256,28,352255,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352257,28,352256,Memmingen,Memmingen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352258,28,352257,Der großmütige Altamiro,Der großmütige Altamiro,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352257,28,352256,Memmingen,Memmingen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352258,28,352257,Der großmütige Altamiro,Der großmütige Altamiro,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352259,29,,Lindau,,>16960821,>16960821,ZZZZZZZZZ,.........
KOL,352260,29,352259,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352261,29,352260,Lindau,Lindau,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352260,29,352259,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352261,29,352260,Lindau,Lindau,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352262,30,,Lindau,,>16960824,>16960824,ZZZZZZZZZ,.........
KOL,352263,30,352262,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352264,30,352263,Lindau,Lindau,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352263,30,352262,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352264,30,352263,Lindau,Lindau,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352265,31,,St. Gallen,,>16960927,>16960927,ZZZZZZZZZ,.........
KOL,352266,31,352265,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352267,31,352266,St. Gallen,St. Gallen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352266,31,352265,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352267,31,352266,St. Gallen,St. Gallen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352268,32,,St. Gallen,,>16961004,>16961004,ZZZZZZZZZ,.........
KOL,352269,32,352268,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352270,32,352269,St. Gallen,St. Gallen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352271,32,352270,Tragoedia Genannt Der unschuldig ermordte Graff von Esseck,Tragoedia Genannt Der unschuldig ermordte Graff von Esseck,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352270,32,352269,St. Gallen,St. Gallen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352271,32,352270,Tragoedia Genannt Der unschuldig ermordte Graff von Esseck,Tragoedia Genannt Der unschuldig ermordte Graff von Esseck,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352269,32,352268,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352270,32,352269,St. Gallen,St. Gallen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352271,32,352270,Tragoedia Genannt Der unschuldig ermordte Graff von Esseck,Tragoedia Genannt Der unschuldig ermordte Graff von Esseck,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352270,32,352269,St. Gallen,St. Gallen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352271,32,352270,Tragoedia Genannt Der unschuldig ermordte Graff von Esseck,Tragoedia Genannt Der unschuldig ermordte Graff von Esseck,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352269,32,352268,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352270,32,352269,St. Gallen,St. Gallen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352271,32,352270,Tragoedia Genannt Der unschuldig ermordte Graff von Esseck,Tragoedia Genannt Der unschuldig ermordte Graff von Esseck,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352270,32,352269,St. Gallen,St. Gallen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352271,32,352270,Tragoedia Genannt Der unschuldig ermordte Graff von Esseck,Tragoedia Genannt Der unschuldig ermordte Graff von Esseck,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352272,33,,Basilej,,>16961121,>16961121,ZZZZZZZZZ,.........
KOL,352273,33,352272,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352274,33,352273,Basilej (Basel),Basilej (Basel),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352273,33,352272,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352274,33,352273,Basilej (Basel),Basilej (Basel),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352275,34,,Basilej,,>16961124,>16961124,ZZZZZZZZZ,.........
KOL,352276,34,352275,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352277,34,352276,Basilej (Basel),Basilej (Basel),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352278,34,352277,Doctor Faust,Doctor Faust,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352277,34,352276,Basilej (Basel),Basilej (Basel),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352278,34,352277,Doctor Faust,Doctor Faust,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352276,34,352275,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352277,34,352276,Basilej (Basel),Basilej (Basel),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352278,34,352277,Doctor Faust,Doctor Faust,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352277,34,352276,Basilej (Basel),Basilej (Basel),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352278,34,352277,Doctor Faust,Doctor Faust,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352276,34,352275,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352277,34,352276,Basilej (Basel),Basilej (Basel),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352278,34,352277,Doctor Faust,Doctor Faust,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352277,34,352276,Basilej (Basel),Basilej (Basel),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352278,34,352277,Doctor Faust,Doctor Faust,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352279,35,,Solothurn,,>16961210,>16961210,ZZZZZZZZZ,.........
KOL,352280,35,352279,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352281,35,352280,Solothurn,Solothurn,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352280,35,352279,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352281,35,352280,Solothurn,Solothurn,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352282,36,,Basilej,,>16961212,>16961212,ZZZZZZZZZ,.........
KOL,352283,36,352282,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352284,36,352283,Basilej (Basel),Basilej (Basel),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352283,36,352282,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352284,36,352283,Basilej (Basel),Basilej (Basel),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352285,37,,Solothurn,,>16970116,>16970116,ZZZZZZZZZ,.........
KOL,352286,37,352285,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352287,37,352286,Solothurn,Solothurn,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352288,37,352287,Die unschuldig verfolgte Rosaura ,Die unschuldig verfolgte Rosaura ,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352287,37,352286,Solothurn,Solothurn,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352288,37,352287,Die unschuldig verfolgte Rosaura ,Die unschuldig verfolgte Rosaura ,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352286,37,352285,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352287,37,352286,Solothurn,Solothurn,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352288,37,352287,Die unschuldig verfolgte Rosaura ,Die unschuldig verfolgte Rosaura ,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352287,37,352286,Solothurn,Solothurn,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352288,37,352287,Die unschuldig verfolgte Rosaura ,Die unschuldig verfolgte Rosaura ,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352286,37,352285,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352287,37,352286,Solothurn,Solothurn,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352288,37,352287,Die unschuldig verfolgte Rosaura ,Die unschuldig verfolgte Rosaura ,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352287,37,352286,Solothurn,Solothurn,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352288,37,352287,Die unschuldig verfolgte Rosaura ,Die unschuldig verfolgte Rosaura ,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352289,38,,Bern,,>16970126,>16970126,ZZZZZZZZZ,.........
KOL,352290,38,352289,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352291,38,352290,Bern,Bern,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352290,38,352289,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352291,38,352290,Bern,Bern,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352292,39,,Freiburg (CH),,>16970213,>16970213,>16970317,>16970317
KOL,352293,39,352292,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352294,39,352293,Fribourg,Fribourg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352293,39,352292,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352294,39,352293,Fribourg,Fribourg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352295,40,,Lucern,,>16970507,>16970507,ZZZZZZZZZ,.........
KOL,352296,40,352295,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352297,40,352296,Lucern (Luzern),Lucern (Luzern),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352296,40,352295,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352297,40,352296,Lucern (Luzern),Lucern (Luzern),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352298,41,,Aarau,,>16970602,>16970602,ZZZZZZZZZ,.........
KOL,352299,41,352298,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352300,41,352299,Aarau,Aarau,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352299,41,352298,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352300,41,352299,Aarau,Aarau,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352301,42,,Baden (CH),,>16970717,>16970717,ZZZZZZZZZ,.........
KOL,352302,42,352301,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352303,42,352302,Baden v Aarau,Baden v Aarau,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352302,42,352301,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352303,42,352302,Baden v Aarau,Baden v Aarau,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352304,43,,Waldshut,,>16970913,>16970913,ZZZZZZZZZ,.........
KOL,352305,43,352304,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352306,43,352305,Waldshut,Waldshut,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352305,43,352304,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352306,43,352305,Waldshut,Waldshut,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352307,44,,Štrasburk ,,>16971102,>16971102,ZZZZZZZZZ,.........
KOL,352308,44,352307,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352309,44,352308,Štrasburk (Strasbourg),Štrasburk (Strasbourg),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352308,44,352307,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352309,44,352308,Štrasburk (Strasbourg),Štrasburk (Strasbourg),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352310,45,,Stuttgart,,>16980118,>16980118,ZZZZZZZZZ,.........
KOL,352311,45,352310,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352312,46,,Vídeň,,>16920301,>16920301,ZZZZZZZZZ,.........
KOL,352313,46,352312,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352314,46,352313,Vídeň (Wien),Vídeň (Wien),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352313,46,352312,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352314,46,352313,Vídeň (Wien),Vídeň (Wien),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352315,47,,Vídeň,,ZZZZZZZZZ,.........,>16920930,>16920930
KOL,352316,47,352315,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352317,47,352316,Vídeň (Wien),Vídeň (Wien),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352316,47,352315,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352317,47,352316,Vídeň (Wien),Vídeň (Wien),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352318,48,,Vídeň,,>16921010,>16921010,ZZZZZZZZZ,.........
KOL,352319,48,352318,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352349,49,,Vídeň,,>16940520,>16940520,ZZZZZZZZZ,.........
KOL,352350,49,352349,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352351,49,352350,Vídeň (Wien),Vídeň (Wien),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352352,49,352350,Gettner Johann Georg,Gettner Johann Georg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352353,49,352350,Sammenhammer Johann Karl,Sammenhammer Johann Karl,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352354,49,352350,Elenson Andreas,Elenson Andreas,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352355,49,352350,Gettnerová Anna Ernestina,Gettnerová Anna Ernestina,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352356,49,352350, Sammenhammerová Marie Agnes, Sammenhammerová Marie Agnes,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352357,49,352350,"Gettnerová, Sibylla Juliana","Gettnerová, Sibylla Juliana",ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352350,49,352349,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352351,49,352350,Vídeň (Wien),Vídeň (Wien),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352352,49,352350,Gettner Johann Georg,Gettner Johann Georg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352353,49,352350,Sammenhammer Johann Karl,Sammenhammer Johann Karl,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352354,49,352350,Elenson Andreas,Elenson Andreas,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352355,49,352350,Gettnerová Anna Ernestina,Gettnerová Anna Ernestina,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352356,49,352350, Sammenhammerová Marie Agnes, Sammenhammerová Marie Agnes,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352357,49,352350,"Gettnerová, Sibylla Juliana","Gettnerová, Sibylla Juliana",ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352358,50,,Vídeň,,>16930816,>16930816,ZZZZZZZZZ,.........
KOL,352359,50,352358,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352360,50,352359,Vídeň (Wien),Vídeň (Wien),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352361,50,352359,Göttner Johann Georg,Göttner Johann Georg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352362,50,352359,Sammenhammer Johann Karl,Sammenhammer Johann Karl,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352359,50,352358,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352360,50,352359,Vídeň (Wien),Vídeň (Wien),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352361,50,352359,Göttner Johann Georg,Göttner Johann Georg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352362,50,352359,Sammenhammer Johann Karl,Sammenhammer Johann Karl,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352363,51,,Linec,,>16790823,>16790823,ZZZZZZZZZ,.........
AKC,352364,52,,České Budějovice,,>16800711,>16800711,>16800713,>16800713
KOL,352365,52,352364,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352366,52,352365,České Budějovice (Budweis),České Budějovice (Budweis),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352365,52,352364,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352366,52,352365,České Budějovice (Budweis),České Budějovice (Budweis),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352367,53,,Linec,,>16800720,>16800720,>16800731,>16800731
KOL,352368,53,352367,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352369,53,352368,Linec (Linz),Linec (Linz),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352368,53,352367,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352369,53,352368,Linec (Linz),Linec (Linz),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352370,54,,Linec,,>16801216,>16801216,>16810331,>16810331
KOL,352371,54,352370,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352372,54,352371,Linec (Linz),Linec (Linz),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352371,54,352370,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352372,54,352371,Linec (Linz),Linec (Linz),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352373,55,,Adelholzen,,>16810701,>16810701,ZZZZZZZZZ,.........
KOL,352374,55,352373,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352375,55,352374,Adelholzen,Adelholzen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352374,55,352373,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352375,55,352374,Adelholzen,Adelholzen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352376,56,,Linec,,>16820823,>16820823,ZZZZZZZZZ,.........
KOL,352377,56,352376,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352378,56,352377,Linec (Linz),Linec (Linz),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352379,56,352378, Petzold Johann Valentin, Petzold Johann Valentin,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352380,56,352378,Göttner Johann Georg,Göttner Johann Georg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352381,56,352378,Manduk Johann Franz,Manduk Johann Franz,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352382,56,352378,Schwarz Johann Friedrich,Schwarz Johann Friedrich,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352383,56,352378,Sammenhammer Johann Karl,Sammenhammer Johann Karl,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352378,56,352377,Linec (Linz),Linec (Linz),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352379,56,352378, Petzold Johann Valentin, Petzold Johann Valentin,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352380,56,352378,Göttner Johann Georg,Göttner Johann Georg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352381,56,352378,Manduk Johann Franz,Manduk Johann Franz,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
JED,352382,56,352378,Schwarz Johann Friedrich,Schwarz Johann Friedrich,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
